iteration,x,y,z,r,p0,p1,p2,p3,p4,p5,pxy1,pxy2,pxy3,pxy4
0,0.001373558640708242,-0.04754478467900088,-0.26705265661996935,0.04756462144821528,306.297,398.372,0,0,468.421,136.902,345,-107.111,287.104,302.662
0,0.0015735169926752819,-0.04898469991728327,-0.26674387124738996,0.04900996614682089,310.736,404.145,0,0,475.21,138.886,350,-108.663,291.265,307.048
0,0.0017770932256030015,-0.05081802945671604,-0.26639240714774415,0.050849092206214884,315.175,409.919,0,0,481.999,140.87,355,-110.216,295.426,311.435
0,0.0018049505257015435,-0.051734365523664415,-0.26621703995925383,0.05176584223729338,319.614,415.692,0,0,488.787,142.854,360,-111.768,299.587,315.821
0,0.0016361564504853736,-0.052943646344723524,-0.26597308801756675,0.052968921984552615,324.053,421.466,0,0,495.576,144.839,365,-113.32,303.748,320.207
0,0.0015919934981393031,-0.05384010806182418,-0.2658197720571596,0.05386363967842336,328.492,427.239,0,0,502.365,146.823,370,-114.873,307.909,324.594
0,0.001523042277574016,-0.054835174373968766,-0.2656291761312886,0.0548563214807814,332.931,433.013,0,0,509.154,148.807,375,-116.425,312.069,328.98
0,0.0014951529685289899,-0.056464136652360865,-0.26555244591695,0.05648392877886402,337.371,438.786,0,0,515.942,150.791,380,-117.977,316.23,333.367
0,0.0016070792046199572,-0.057871454784963146,-0.26526495231429303,0.05789376462537184,341.81,444.56,0,0,522.731,152.775,385,-119.53,320.391,337.753
0,0.0016563667309819844,-0.05901597325446311,-0.2649612875963058,0.05903921281588203,346.249,450.333,0,0,529.52,154.759,390,-121.082,324.552,342.139
0,0.0017692638772647097,-0.06014340051740034,-0.2647031299993507,0.060169418482014805,350.688,456.107,0,0,536.308,156.743,395,-122.634,328.713,346.526
0,0.001756760090644439,-0.06120207505320103,-0.26450241408877206,0.061227283108380146,355.127,461.88,0,0,543.097,158.727,400,-124.187,332.874,350.912
0,0.0016111458777404335,-0.06211958769240204,-0.26425408776184944,0.0621404776785099,359.566,467.654,0,0,549.886,160.711,405,-125.739,337.035,355.299
0,0.0015727998653206488,-0.0629775317827554,-0.2640466325558558,0.06299716826067915,364.005,473.427,0,0,556.675,162.695,410,-127.291,341.196,359.685
0,0.0015113758498586831,-0.06428864223393958,-0.26365350063510684,0.0643064054137923,368.444,479.201,0,0,563.463,164.679,415,-128.844,345.357,364.071
0,0.001662549160707029,-0.06550434276729995,-0.2633660326225271,0.06552543774052706,372.883,484.974,0,0,570.252,166.664,420,-130.396,349.518,368.458
0,0.00178720838614918,-0.06671491762369357,-0.2630361788200885,0.06673885185820731,377.322,490.748,0,0,577.041,168.648,425,-131.948,353.679,372.844
0,0.0018198456010918465,-0.06848481755142607,-0.26251181243198407,0.06850899264376853,381.761,496.521,0,0,583.829,170.632,430,-133.501,357.84,377.231
0,0.0017264045119442433,-0.06955147560606191,-0.2622411242390474,0.06957289868561958,386.201,502.295,0,0,590.618,172.616,435,-135.053,362.001,381.617
0,0.0015973123340569187,-0.07057766455818336,-0.2619103696209262,0.07059573741508747,390.64,508.068,0,0,597.407,174.6,440,-136.605,366.162,386.003
