i,kqg0,kqg1,p0,p1,p2
27,0.21303446261544356,-2.7493476744865033,8.630586998995357,3.1839911424709504,0
28,0.21900632981964363,-2.7395588736632233,8.588170445542323,3.29668923935431,0
29,0.13205227948865475,-2.7578296150338235,8.544282353720392,3.4088224656710215,0
30,0.020724616464042746,-2.9685471976216378,8.498930243525985,3.520371607975566,0
31,-0.08316946138871784,-2.9916088403585617,8.45212188580747,3.6313175529021864,0
32,-0.03168359272528756,-2.6967631399010497,8.403865300933653,3.741641290439859,0
33,-0.0928843883376502,-2.6972051223383176,8.354168757419544,3.851323917189564,0
34,-0.10182902786692397,-2.705262301992458,8.303040770509568,3.9603466396032827,0
35,-0.12380425076523234,-2.5645279891056867,8.250490100718553,4.068690777204174,0
36,-0.1395485225499779,-2.500416853763,8.196525752330631,4.176337765787378,0
37,-0.2372933382286909,-2.5371994457332154,8.141156971856423,4.283269160600893,0
38,-0.25198580467560544,-2.605342967290551,8.084393246448682,4.389466639505996,0
39,-0.33156377692366124,-2.595403411021622,8.026244302276728,4.494912006116636,0
40,-0.37848736069659866,-2.567027230525751,7.966720102859918,4.599587192917295,0
41,-0.45364790583588466,-2.569653528035919,7.905830847360443,4.703474264358763,0
42,-0.5049140172464576,-2.4436109068032916,7.843586968835761,4.806555419931302,0
43,-0.605348776871912,-2.4800212230432264,7.779999132450947,4.908812997214667,0
44,-0.6195710539408993,-2.511412341711286,7.715078233651271,5.010229474904474,0
45,-0.722667469583851,-2.4138030746291452,7.648835396295309,5.110787475814381,0
46,-0.7510533771590158,-2.41056378293028,7.581281970748951,5.2104697698535825,0
47,-0.8696734621622003,-2.5189188979779833,7.512429531940554,5.309259276979093,0
48,-0.8873990677830192,-2.1676515907470364,7.44228987737765,5.407139070122325,0
49,-0.9548246084819804,-2.1721623745053034,7.370875025125495,5.504092378089449,0
50,-1.0274694755525893,-2.1147246648647298,7.2981972117478495,5.600102588435061,0
51,-1.0368110483144206,-2.130277451708057,7.224268890210285,5.695153250308634,0
52,-1.129644944159151,-2.1306054385376942,7.149102727746463,5.7892280772732745,0
53,-1.2450386502771174,-2.361630140704845,7.072711603687642,5.882310950096342,0
54,-1.1852896538014854,-2.033729035805343,6.99510860725589,5.97438591951137,0
55,-1.3046693194129424,-1.9927390659572572,6.916307035321301,6.065437208950911,0
56,-1.4074220905193784,-1.9184441989442025,6.836320390123658,6.155449217249757,0
57,-1.4386803750389463,-1.892782996291198,6.755162376958886,6.244406521318123,0
58,-1.4640521305597534,-1.8510198002528413,6.672846901830723,6.332293878784312,0
59,-1.6186664415720795,-2.063665524390434,6.589388069067994,6.419096230606416,0
60,-1.5979483351439248,-2.0038627621168166,6.504800178907921,6.504798703652605,0
61,-1.6513281554963593,-2.0269250768715117,6.419097725045837,6.589386613249559,0
62,-1.6870282403644477,-1.981209774587969,6.3322953921517735,6.672845465698615,0
63,-1.7184999431919619,-1.6945169687803514,6.244408053354316,6.755160960759181,0
64,-1.8193618135248433,-1.5635401603831325,6.155450767692176,6.836318994099014,0
65,-1.888149874600772,-1.5856807811867726,6.065438777533894,6.916305659710918,0
66,-1.9198858183438396,-1.5424330956115253,5.97438750596615,6.995107252295471,0
67,-1.9736693389503561,-1.4783400267261795,5.882312554151086,7.072710269609357,0
68,-2.0565919022530035,-1.4311535904781545,5.7892296986531395,7.149101414778896,0
69,-2.1276770758441015,-1.4394091780573608,5.695154888735803,7.2242675985784075,0
70,-2.234392697049676,-1.416837719234468,5.6001042436288,7.298195941672972,0
71,-2.2678728329921425,-1.4365183931656582,5.504094049766146,7.370873776825245,0
72,-2.2905097327148893,-1.3392880543829786,5.407140757995548,7.442288651065914,0
73,-2.4393723392010656,-1.6075396501501928,5.309260980759635,7.512428327827453,0
