t,x_t1,y_t1,z_t1,x_t2,y_t2,z_t2,x_fk,y_fk,z_fk,q0,q1,q2,q3,p0,p1,p2,p3,p4,p5,tau1,tau2,tau3,tau4
0.646667,0.0516491,0.00504119,0.146365,0.136019,0.00399914,0.242868,-0.0971901,0.00781258,-0.249339,0.0681952,0.371461,0.109792,0.462245,26.9787,461.446,711.576,26.9787,461.446,711.576,0,0,0,0,
0.653333,0.0515791,0.00539414,0.146387,0.135892,0.00488214,0.242965,-0.0970316,0.0086848,-0.249391,0.0790129,0.371137,0.114524,0.461579,27.5314,459.94,712.529,27.5314,459.94,712.529,0,0,0,0,
0.66,0.0515176,0.00573067,0.146404,0.135793,0.00571628,0.243049,-0.0968963,0.00952663,-0.249423,0.0894302,0.370867,0.119115,0.461324,28.0894,458.434,713.477,28.0894,458.434,713.477,0,0,0,0,
0.666667,0.0514656,0.0060434,0.146417,0.135715,0.00652426,0.243118,-0.0967596,0.0103477,-0.249453,0.0995192,0.37063,0.123821,0.461046,28.6528,456.926,714.421,28.6528,456.926,714.421,0,0,0,0,
0.673333,0.0514246,0.00632979,0.146426,0.135655,0.00729928,0.243173,-0.0966238,0.0111382,-0.249479,0.109037,0.370383,0.128874,0.460914,29.2216,455.418,715.36,29.2216,455.418,715.36,0,0,0,0,
0.68,0.0513924,0.00659627,0.146429,0.135629,0.00799191,0.243213,-0.0964673,0.0119396,-0.249518,0.118047,0.370207,0.135696,0.460283,29.7958,453.909,716.295,29.7958,453.909,716.295,0,0,0,0,
0.686667,0.0513673,0.006835,0.14643,0.13562,0.00865491,0.243232,-0.0963151,0.0127051,-0.249551,0.126659,0.370004,0.142237,0.459888,30.3754,452.4,717.225,30.3754,452.4,717.225,0,0,0,0,
0.693333,0.0513484,0.00706014,0.146427,0.135628,0.00927358,0.243238,-0.0961797,0.013447,-0.249574,0.134901,0.369915,0.148804,0.459489,30.9603,450.889,718.15,30.9603,450.889,718.15,0,0,0,0,
0.7,0.0513351,0.00727127,0.14642,0.135653,0.00986612,0.243225,-0.0960705,0.0141468,-0.249582,0.142543,0.369937,0.15524,0.459221,31.5505,449.378,719.071,31.5505,449.378,719.071,0,0,0,0,
0.706667,0.0513279,0.00746894,0.146411,0.135691,0.0104188,0.243199,-0.0959872,0.0148106,-0.249577,0.149458,0.37009,0.162063,0.459011,32.1461,447.866,719.988,32.1461,447.866,719.988,0,0,0,0,
0.713333,0.0513264,0.00765236,0.146402,0.135732,0.0109785,0.243153,-0.0959503,0.0153941,-0.249544,0.155586,0.370305,0.167718,0.459357,32.7471,446.353,720.899,32.7471,446.353,720.899,0,0,0,0,
0.72,0.0513292,0.00782364,0.146391,0.135787,0.0115018,0.24309,-0.0959409,0.015926,-0.249498,0.161105,0.370589,0.172875,0.459912,33.3533,444.84,721.806,33.3533,444.84,721.806,0,0,0,0,
0.726667,0.0513354,0.00798174,0.14638,0.135855,0.0119703,0.243016,-0.0959474,0.0164268,-0.249443,0.166192,0.370923,0.177876,0.460564,33.9649,443.326,722.709,33.9649,443.326,722.709,0,0,0,0,
0.733333,0.0513456,0.00813113,0.146366,0.135933,0.0123953,0.242931,-0.0959701,0.0168789,-0.249382,0.170813,0.371291,0.18219,0.461303,34.5818,441.812,723.606,34.5818,441.812,723.606,0,0,0,0,
0.74,0.0513603,0.00826716,0.146352,0.136025,0.0127615,0.242842,-0.0959993,0.0173014,-0.24932,0.174966,0.371684,0.18655,0.462015,35.204,440.297,724.499,35.204,440.297,724.499,0,0,0,0,
0.746667,0.0513791,0.00839107,0.146337,0.136126,0.0130833,0.242744,-0.0960427,0.0176996,-0.24925,0.178763,0.372116,0.190814,0.462824,35.8315,438.781,725.388,35.8315,438.781,725.388,0,0,0,0,
0.753333,0.0514016,0.00850553,0.146318,0.136239,0.0133665,0.242641,-0.096102,0.0180665,-0.249177,0.182418,0.372644,0.194208,0.463522,36.4642,437.265,726.271,36.4642,437.265,726.271,0,0,0,0,
0.76,0.0514284,0.00860828,0.146298,0.136355,0.0136081,0.242537,-0.0961724,0.0183919,-0.249101,0.185804,0.37321,0.19672,0.46417,37.1023,435.748,727.15,37.1023,435.748,727.15,0,0,0,0,
